,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Sl. No,Course code,Course name,Credits,L-T-P-S-C,Faculty,Department,Sections,When the course runs in a semester?,,,,
,,Sem 1,,,,,,,,Segment - I,Segment - II,Segment - III,Segment - IV,
,,1,,Statistics ,2,,Dr. Ramesh Athe,DSAI,Combined,TRUE,TRUE,,,
,,2,,Introduction to DS and AI,2,,Dr. Abdul Wahid,CSE,Combined,TRUE,TRUE,,,
,,3,,Open elective I,2,,,,,,,TRUE,TRUE,
,,4,,Probability,2,,Dr. Lakshman,HSS ,Combined,,,TRUE,TRUE,
,,5,,Digital Design,2,3-0-2-0-2,Dr. Jagadeesha R Bhat,ECE,Combined,,,TRUE,TRUE,
,,6,,Problem Solving through Programming,4,3-0-2-0-4,"Dr. Sunil P V - Section A
 Dr. Sunil C K - Section B",CSE,2 sections,TRUE,TRUE,TRUE,TRUE,
,,7,,English Language and Communication,3,3-0-0-0-3,Dr. Rajesh ,HSS ,2 sections,TRUE,TRUE,TRUE,TRUE,
,,Sem 3,,,,,,,,,,,,
,,1,CS201,Discrete Mathematics,4,3-1-0-0-4,"Dr. Animesh Roy - Section A
Dr. Sadhvi - Section B",CSE,2 sections,,,,,
,,2,CS207,OOP,4,3-0-2-0-4,"Dr. Pramod - Section A
Dr. Vivek - Section B",CSE,2 sections,,,,,
,,3,CS208,Computer Architecture,4,3-0-2-0-4,Dr. Prabhu Prasad B M,CSE,2 sections,,,,,
,,4,CS202,DAA,5,3-1-2-0-4,"Dr. Malay, Dr. Vivek Raj - Section A
Dr. Dibyajyothi - Section B",CSE,2 sections,,,,,
,,5,MA201,Probability,4,3-1-0-0-4,Dr. Anand,HSS ,2 sections,,,,,
,,6,,"Industrial Social
Psychology",3,3-0-0-0-3,(Dr. Navyashree),HSS ,2 sections,,,,,
,,Sem 5,,,,,,,,,,,,
,,1,CS309,Statistics for Computer Science,4,3-1-0-0-4,"Dr. Ramesh Athe - Section A
Dr. Sunil C K - Section B",DSAI and CSE,2 sections,,,,,
,,2,CS303,Computer Networks,5,3-1-2-0-5,"Dr. C B Akki - Theory, Tutorial
Dr. Sadhvi - Lab",CSE,2 sections,,,,,
,,3,CS304,Artificial Intelligence,4,3-1-0-0-4,"Dr. Krishendu -Section A
Dr. Girish - Section B",CSE,2 sections,,,,,
,,4,Theory basket ,Graph Theory/Advanced algorithm design,4,4-0-0-0-4,Dr. Pavan / Dr. Suvadip Hazra,CSE,2 sections,,,,,
,,5,Open electives,"Cryptography and Information Security /
Parallel Computing / 
Internet of Things",4,4-0-0-0-4,Dr. Rajendra Hegadi / Dr. Pramod / Dr. Prakash,DSAI / CSE / ECE,,,,,,
,,6,HS101,Environmental studies,2,0-0-0-8-2,,,,,,,,
,,Sem 7,,,,,,,,,7th sem elective and faculty list				,,,
,,1,,Elective 1,4,4-0-0-0-4,,,,,Information Retrieval,Dr. Krishnendu Ghosh,,4 credits
,,2,,Elective 2,4,4-0-0-0-4,,,,,Virtualization and Cloud Computing,Dr. Malay,,4 credits
,,3,,Elective 3,4,4-0-0-0-4,`,,,,AI for Cybersecurity ,Dr. Abdul Wahid,,4 credits
,,4,,Elective 4,4,4-0-0-0-4,,,,,Deep Computer Vision,Dr. Dibyajyoti Guha,,4 Credits
,,5,,Mini project II,2,0-0-0-8-2,,,,,Computer Graphics,Dr. Vivekraj,,4 credits
,,,,,,,,,,,Bioinformatics,Dr. Sunil Kumar P V,,4 credits